preparation,uuid,template_title,template_type,template_number,parent_wtno_i,wtno_i,mutation,mutator,status,mutation_time,created_by,created_date
 , ,CAAV-F586-SECTION5-B1-201.1,J,201.1, ,370'664,19'823,VJC2741,0,14981985,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-201.2,J,201.2, ,370'665,19'823,VJC2741,0,14982013,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-202,J,202, ,370'666,19'823,VJC2741,0,14982040,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-203,J,203, ,370'667,19'823,VJC2741,0,14982067,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-204,J,204, ,370'668,19'823,VJC2741,0,14982094,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-205,J,205, ,370'669,19'823,VJC2741,0,14982122,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-206.1,J,206.1, ,370'670,19'823,VJC2741,0,14982149,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-206.2,J,206.2, ,370'671,19'823,VJC2741,0,14982176,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-206.3,J,206.3, ,370'672,19'823,VJC2741,0,14982203,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-206.4,J,206.4, ,370'673,19'823,VJC2741,0,14982230,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-206.5,J,206.5, ,370'674,19'823,VJC2741,0,14982258,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-207.1,J,207.1, ,370'675,19'823,VJC2741,0,14982285,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-207.2,J,207.2, ,370'676,19'823,VJC2741,0,14982312,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-207.3,J,207.3, ,370'677,19'823,VJC2741,0,14982339,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-207.4,J,207.4, ,370'678,19'823,VJC2741,0,14982366,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-208.1,J,208.1, ,370'679,19'823,VJC2741,0,14982394,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-208.2,J,208.2, ,370'680,19'823,VJC2741,0,14982422,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-208.3,J,208.3, ,370'681,19'823,VJC2741,0,14982449,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-208.4,J,208.4, ,370'682,19'823,VJC2741,0,14982476,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-208.5,J,208.5, ,370'683,19'823,VJC2741,0,14982503,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-209.1,J,209.1, ,370'684,19'823,VJC2741,0,14982530,VJC2741,19'823
 , ,CAAV-F586-SECTION5-B1-209.2,J,209.2, ,370'685,19'823,VJC2741,0,14982559,VJC2741,19'823
